game_id,Proba_Win
2018-1437-1345,0.692628789
2018-1437-1403,0.716368026
2018-1437-1455,0.74263016
2018-1437-1452,0.671738001
2018-1437-1196,0.728965392
2018-1437-1116,0.764516742
2018-1437-1439,0.759669792
2018-1437-1104,0.763867892
2018-1437-1139,0.752406236
2018-1437-1382,0.759803308
2018-1437-1417,0.756015037
2018-1437-1293,0.740969175
2018-1437-1267,0.769452983
2018-1437-1372,0.752601597
2018-1437-1168,0.786404234
2018-1437-1254,0.784561028
2018-1437-1347,0.782718248
2018-1437-1242,0.654321154
2018-1437-1181,0.611004827
2018-1437-1277,0.640632038
2018-1437-1120,0.670414735
2018-1437-1155,0.69091264
2018-1437-1395,0.765829767
2018-1437-1348,0.716867258
2018-1437-1371,0.756655805
2018-1437-1301,0.753840066
2018-1437-1328,0.723365006
2018-1437-1113,0.75647118
2018-1437-1393,0.693607471
2018-1437-1308,0.752368329
2018-1437-1158,0.763570846
2018-1437-1137,0.751206589
2018-1437-1233,0.776630076
2018-1437-1335,0.765211984
2018-1437-1438,0.646722255
2018-1437-1153,0.68737618
2018-1437-1397,0.675868699
2018-1437-1112,0.711354597
2018-1437-1246,0.697939031
2018-1437-1274,0.718471841
2018-1437-1305,0.748358658
2018-1437-1166,0.739672252
2018-1437-1243,0.770489868
2018-1437-1400,0.734488582
2018-1437-1260,0.695581087
2018-1437-1172,0.74459908
2018-1437-1138,0.747712702
2018-1437-1460,0.747236899
2018-1437-1209,0.725723479
2018-1437-1420,0.777061692
2018-1437-1462,0.688726015
2018-1437-1314,0.678474106
2018-1437-1276,0.685180471
2018-1437-1211,0.670138666
2018-1437-1326,0.669622588
2018-1437-1222,0.689146348
2018-1437-1401,0.731888632
2018-1437-1281,0.743537602
2018-1437-1199,0.725784417
2018-1437-1344,0.765106333
2018-1437-1361,0.74534146
2018-1437-1355,0.758502599
2018-1437-1422,0.747113759
2018-1437-1285,0.729779819
2018-1437-1252,0.765249372
2018-1437-1300,0.776992874
2018-1437-1411,0.778338368
2018-1345-1403,0.705969846
2018-1345-1455,0.717208072
2018-1345-1452,0.621002009
2018-1345-1196,0.711089392
2018-1345-1116,0.764078346
2018-1345-1439,0.742058472
2018-1345-1104,0.75921342
2018-1345-1139,0.753262143
2018-1345-1382,0.757286153
2018-1345-1417,0.733829108
2018-1345-1293,0.722359442
2018-1345-1267,0.751684818
2018-1345-1372,0.741618366
2018-1345-1168,0.789459591
2018-1345-1254,0.769069728
2018-1345-1347,0.779010806
2018-1345-1242,0.668154007
2018-1345-1181,0.590953996
2018-1345-1277,0.636304334
2018-1345-1120,0.662806739
2018-1345-1155,0.704578361
2018-1345-1395,0.769337517
2018-1345-1348,0.706294834
2018-1345-1371,0.760808189
2018-1345-1301,0.750812724
2018-1345-1328,0.729969754
2018-1345-1113,0.748278393
2018-1345-1393,0.69642275
2018-1345-1308,0.761510288
2018-1345-1158,0.776068312
2018-1345-1137,0.748117792
2018-1345-1233,0.776348348
2018-1345-1335,0.769086728
2018-1345-1438,0.64792207
2018-1345-1153,0.698172417
2018-1345-1397,0.675141449
2018-1345-1112,0.702957102
2018-1345-1246,0.708153184
2018-1345-1274,0.723529606
2018-1345-1305,0.745671397
2018-1345-1166,0.733258102
2018-1345-1243,0.765111838
2018-1345-1400,0.729873539
2018-1345-1260,0.708220691
2018-1345-1172,0.748034701
2018-1345-1138,0.764814014
2018-1345-1460,0.760228766
2018-1345-1209,0.72967458
2018-1345-1420,0.784752202
2018-1345-1462,0.698391782
2018-1345-1314,0.687623197
2018-1345-1276,0.694116842
2018-1345-1211,0.655439111
2018-1345-1326,0.659532821
2018-1345-1222,0.700613787
2018-1345-1401,0.73360353
2018-1345-1281,0.753744162
2018-1345-1199,0.710143202
2018-1345-1344,0.759579258
2018-1345-1361,0.743699856
2018-1345-1355,0.769519457
2018-1345-1422,0.769000009
2018-1345-1285,0.741026702
2018-1345-1252,0.772868793
2018-1345-1300,0.79085175
2018-1345-1411,0.781641033
2018-1403-1455,0.687440212
2018-1403-1452,0.565896749
