game_id,Prob_Win
2018-1437-1345,0.978633008
2018-1437-1403,0.993233018
2018-1437-1455,0.99444847
2018-1437-1452,0.968505729
2018-1437-1196,0.984534986
2018-1437-1116,0.996330156
2018-1437-1439,0.999000302
2018-1437-1104,0.996690922
2018-1437-1139,0.991511792
2018-1437-1382,0.997628864
2018-1437-1417,0.995291947
2018-1437-1293,0.996631423
2018-1437-1267,0.99936272
2018-1437-1372,0.995125959
2018-1437-1168,0.999356855
2018-1437-1254,0.999754359
2018-1437-1347,0.999247942
2018-1437-1242,0.976760396
2018-1437-1181,0.955146257
2018-1437-1277,0.966698281
2018-1437-1120,0.947799195
2018-1437-1155,0.983578631
2018-1437-1395,0.996247244
2018-1437-1348,0.979828171
2018-1437-1371,0.993970311
2018-1437-1301,0.988032712
2018-1437-1328,0.991557963
2018-1437-1113,0.988586651
2018-1437-1393,0.966931397
2018-1437-1308,0.994903674
2018-1437-1158,0.994681496
2018-1437-1137,0.995232656
2018-1437-1233,0.997905065
2018-1437-1335,0.998484025
2018-1437-1438,0.927886956
2018-1437-1153,0.946880167
2018-1437-1397,0.984506705
2018-1437-1112,0.984051792
2018-1437-1246,0.966409193
2018-1437-1274,0.976388146
2018-1437-1305,0.991228156
2018-1437-1166,0.997355284
2018-1437-1243,0.995191095
2018-1437-1400,0.981598821
2018-1437-1260,0.993346794
2018-1437-1172,0.99566829
2018-1437-1138,0.996241459
2018-1437-1460,0.997355937
2018-1437-1209,0.984673635
2018-1437-1420,0.998879535
2018-1437-1462,0.987342356
2018-1437-1314,0.967537153
2018-1437-1276,0.975138769
2018-1437-1211,0.962618983
2018-1437-1326,0.970539317
2018-1437-1222,0.982120559
2018-1437-1401,0.98851012
2018-1437-1281,0.993584566
2018-1437-1199,0.985158175
2018-1437-1344,0.997139369
2018-1437-1361,0.989601655
2018-1437-1355,0.996631114
2018-1437-1422,0.990421279
2018-1437-1285,0.993291464
2018-1437-1252,0.998537574
2018-1437-1300,0.999783487
2018-1437-1411,0.999250505
2018-1345-1403,0.979492585
2018-1345-1455,0.982618258
2018-1345-1452,0.935755638
2018-1345-1196,0.960325092
2018-1345-1116,0.992559314
2018-1345-1439,0.996387257
2018-1345-1104,0.988816228
2018-1345-1139,0.983590774
2018-1345-1382,0.992075128
2018-1345-1417,0.985082456
2018-1345-1293,0.988962253
2018-1345-1267,0.997791539
2018-1345-1372,0.984560735
2018-1345-1168,0.998652854
2018-1345-1254,0.999104068
2018-1345-1347,0.997286171
2018-1345-1242,0.961563405
2018-1345-1181,0.935774769
2018-1345-1277,0.947178425
2018-1345-1120,0.930299244
2018-1345-1155,0.971471839
2018-1345-1395,0.992687661
2018-1345-1348,0.96602002
2018-1345-1371,0.988505179
2018-1345-1301,0.978397125
2018-1345-1328,0.984287796
2018-1345-1113,0.979283184
2018-1345-1393,0.949598416
2018-1345-1308,0.99021084
2018-1345-1158,0.989836588
2018-1345-1137,0.990829507
2018-1345-1233,0.995865313
2018-1345-1335,0.996990567
2018-1345-1438,0.90931654
2018-1345-1153,0.926738411
2018-1345-1397,0.972784414
2018-1345-1112,0.97228129
2018-1345-1246,0.949080184
2018-1345-1274,0.961518218
2018-1345-1305,0.983748293
2018-1345-1166,0.994798352
2018-1345-1243,0.990754807
2018-1345-1400,0.968648674
2018-1345-1260,0.987369765
2018-1345-1172,0.99161455
2018-1345-1138,0.992691468
2018-1345-1460,0.994803873
2018-1345-1209,0.973084312
2018-1345-1420,0.997768435
2018-1345-1462,0.977248034
2018-1345-1314,0.94878992
2018-1345-1276,0.959428898
2018-1345-1211,0.944205125
2018-1345-1326,0.953874889
2018-1345-1222,0.969251464
2018-1345-1401,0.979157839
2018-1345-1281,0.987800535
2018-1345-1199,0.973842581
2018-1345-1344,0.994395811
2018-1345-1361,0.980965204
2018-1345-1355,0.993431822
2018-1345-1422,0.982359964
2018-1345-1285,0.987311245
2018-1345-1252,0.997097314
2018-1345-1300,0.999565017
2018-1345-1411,0.998503383
2018-1403-1455,0.971487367
2018-1403-1452,0.288873088
2018-1403-1196,0.959015826
2018-1403-1116,0.979481025
2018-1403-1439,0.993473306
2018-1403-1104,0.980475521
2018-1403-1139,0.961093019
2018-1403-1382,0.991705118
2018-1403-1417,0.984377824
2018-1403-1293,0.980919969
2018-1403-1267,0.99587598
2018-1403-1372,0.9839043
2018-1403-1168,0.995830267
2018-1403-1254,0.998296245
2018-1403-1347,0.994941992
2018-1403-1242,0.96638097
2018-1403-1181,0.337738006
2018-1403-1277,0.4
2018-1403-1120,0.935173693
2018-1403-1155,0.975213949
2018-1403-1395,0.993952902
2018-1403-1348,0.97030547
2018-1403-1371,0.990386909
2018-1403-1301,0.981515782
2018-1403-1328,0.986639916
2018-1403-1113,0.982298456
2018-1403-1393,0.954651174
2018-1403-1308,0.991770277
2018-1403-1158,0.991374373
2018-1403-1137,0.992271577
2018-1403-1233,0.996571196
2018-1403-1335,0.997501825
2018-1403-1438,0.918274993
2018-1403-1153,0.934532753
2018-1403-1397,0.976591518
2018-1403-1112,0.975781207
2018-1403-1246,0.954021466
2018-1403-1274,0.965747476
2018-1403-1305,0.986098023
2018-1403-1166,0.995691662
2018-1403-1243,0.992205898
2018-1403-1400,0.972499237
2018-1403-1260,0.989423671
2018-1403-1172,0.993012345
2018-1403-1138,0.993900859
2018-1403-1460,0.995685991
2018-1403-1209,0.976772307
2018-1403-1420,0.998153953
2018-1403-1462,0.980524197
2018-1403-1314,0.955809751
2018-1403-1276,0.964379931
2018-1403-1211,0.949914779
2018-1403-1326,0.958753861
2018-1403-1222,0.973303712
2018-1403-1401,0.982170158
2018-1403-1281,0.989775125
2018-1403-1199,0.977443442
2018-1403-1344,0.995321902
2018-1403-1361,0.983750854
2018-1403-1355,0.99449809
2018-1403-1422,0.984939206
2018-1403-1285,0.989260565
2018-1403-1252,0.997583752
2018-1403-1300,0.999639837
2018-1403-1411,0.998752893
2018-1455-1452,0.304918743
2018-1455-1196,0.941571002
2018-1455-1116,0.977809305
2018-1455-1439,0.99289669
2018-1455-1104,0.97884634
2018-1455-1139,0.958751872
2018-1455-1382,0.984683656
2018-1455-1417,0.973071327
2018-1455-1293,0.983710362
2018-1455-1267,0.996543867
2018-1455-1372,0.972178819
2018-1455-1168,0.995427461
2018-1455-1254,0.998117728
2018-1455-1347,0.994438028
2018-1455-1242,0.956852033
2018-1455-1181,0.308039497
2018-1455-1277,0.377025702
2018-1455-1120,0.926409975
2018-1455-1155,0.966873754
2018-1455-1395,0.9912304
2018-1455-1348,0.961018314
2018-1455-1371,0.986220555
2018-1455-1301,0.974522407
2018-1455-1328,0.981185498
2018-1455-1113,0.975534839
2018-1455-1393,0.944388402
2018-1455-1308,0.988141996
2018-1455-1158,0.987551616
2018-1455-1137,0.988826305
2018-1455-1233,0.994931674
2018-1455-1335,0.996297204
2018-1455-1438,0.912215278
2018-1455-1153,0.925696215
2018-1455-1397,0.968547714
2018-1455-1112,0.96753097
2018-1455-1246,0.943750514
2018-1455-1274,0.955993413
2018-1455-1305,0.980438296
2018-1455-1166,0.993687986
2018-1455-1243,0.988721844
2018-1455-1400,0.963624386
2018-1455-1260,0.984976581
2018-1455-1172,0.989893009
2018-1455-1138,0.991123792
2018-1455-1460,0.993668217
2018-1455-1209,0.968687166
2018-1455-1420,0.997250569
2018-1455-1462,0.973373353
2018-1455-1314,0.94576373
2018-1455-1276,0.954609773
2018-1455-1211,0.939905365
2018-1455-1326,0.948601177
2018-1455-1222,0.964632226
2018-1455-1401,0.975423991
2018-1455-1281,0.985453768
2018-1455-1199,0.969546647
2018-1455-1344,0.993120726
2018-1455-1361,0.977432526
2018-1455-1355,0.991956283
2018-1455-1422,0.978927806
2018-1455-1285,0.984694456
2018-1455-1252,0.996409285
2018-1455-1300,0.999460906
2018-1455-1411,0.998136546
2018-1452-1196,0.974515859
2018-1452-1116,0.993386392
2018-1452-1439,0.998090296
2018-1452-1104,0.993774315
2018-1452-1139,0.985257987
2018-1452-1382,0.995686616
2018-1452-1417,0.991584143
2018-1452-1293,0.988435065
2018-1452-1267,0.997657563
2018-1452-1372,0.991300212
2018-1452-1168,0.998813072
